"MOR10. Iedzîvotâju nâves cçloòi sadalîjumâ pa mçneðiem"

"Nâves cçlonis";"Gads";"uz 100 000 iedzîvotâju Janvâris";"uz 100 000 iedzîvotâju Februâris";"uz 100 000 iedzîvotâju Marts";"uz 100 000 iedzîvotâju Aprîlis";"uz 100 000 iedzîvotâju Maijs";"uz 100 000 iedzîvotâju Jûnijs";"uz 100 000 iedzîvotâju Jûlijs";"uz 100 000 iedzîvotâju Augusts";"uz 100 000 iedzîvotâju Septembris";"uz 100 000 iedzîvotâju Oktobris";"uz 100 000 iedzîvotâju Novembris";"uz 100 000 iedzîvotâju Decembris"
"KOPÂ";"2015";137.49;119.85;129.81;122.07;117.12;110.59;114.94;111.76;104.83;119.04;113.63;124.55
"KOPÂ";"2016";144.73;117.94;131.97;120.69;119.72;115.18;107.12;113.24;107.47;120.33;118.65;122.84
"KOPÂ";"2017";138.14;133.66;135.77;122.33;119.71;111.26;112.34;107.81;114.40;121.56;119.55;128.82
"KOPÂ";"2018";132.89;125.31;158.26;130.87;119.92;104.87;122.87;110.68;110.16;117.94;115.19;131.59
"KOPÂ";"2019";148.08;124.52;127.49;119.34;115.74;107.59;114.54;104.56;111.71;118.87;113.44;130.68
"KOPÂ";"2020";131.86;116.03;123.76;120.92;121.39;117.39;115.03;116.76;112.82;124.65;132.92;171.12
"KOPÂ";"2021";188.17;148.05;141.52;134.25;141.21;139.88;133.35;121.94;133.19;188.27;188.59;158.13
"KOPÂ";"2022";154.66;145.27;157.96;130.72;125.50;121.98;117.55;121.44;121.55;133.44;126.30;149.97
"Infekcijas un parazitâras slimîbas (A00-B99)";"2015";1.47;1.82;0.96;1.26;1.16;1.62;1.42;1.11;1.52;1.16;1.16;0.96
"Infekcijas un parazitâras slimîbas (A00-B99)";"2016";1.84;1.17;2.14;1.07;1.48;0.71;1.02;1.43;1.22;1.33;1.17;1.17
"Infekcijas un parazitâras slimîbas (A00-B99)";"2017";1.49;1.49;1.34;1.34;1.24;1.24;1.49;1.44;1.44;1.18;0.98;1.29
